cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad
1.0,0,60.0,15,3.75,0,3.00243768682026,0.44750960177975974,3.813100517921903,4.775585257472118,1.8970641312376257,0.3306885236902474,0.065,4.7,0.06,0.3,4.0,1.4288992721907328
1.0,1,60.0,15,3.75,0,3.0799386463572276,0.48419028113937634,3.9002511432907867,4.858568731518708,1.8895645484373944,0.2914307022690991,0.06577673839752203,4.570952355386659,0.0551469765634464,0.33000624819513635,3.9705706040793256,1.4182988268893335
1.0,2,60.0,15,3.75,0,3.0927243715956148,0.4493527436441016,3.918536572194878,4.884809242094357,1.9071338999794645,0.3332482531665809,0.06428724157605824,4.1638551873761624,0.06636539174031647,0.3114338956812706,4.134814580815061,1.44120695245206
1.0,3,60.0,15,3.75,0,3.0037487980203443,0.4381337853496167,3.8094822209986936,4.773408970781204,1.9087582130722474,0.3256497951150712,0.06268446121923109,4.336350357380637,0.05515479194800862,0.2820106664684216,4.17178330111812,1.4246835883790174
1.0,4,60.0,15,3.75,0,3.0723295723764563,0.4510460265169859,3.8976051615969953,4.862144858626558,1.908911664532134,0.3231753729115356,0.06381785595855352,4.180630719342732,0.059804869770326875,0.30111774343157194,3.8014708311273617,1.422012753510219
1.0,5,60.0,15,3.75,0,2.9191427323525656,0.4326987349081271,3.713680191984818,4.677609739831451,1.9253599686980816,0.31906539161691194,0.0624217189570092,4.63370430103694,0.06530633920429904,0.3086503437550528,3.8808036451019428,1.390010992718187
1.0,6,60.0,15,3.75,0,3.085752178241131,0.4555221832743616,3.9159634740956553,4.8792771191705935,1.8989276246060653,0.32653607457903244,0.06515637336675334,4.342580092232875,0.056498397403540186,0.2971682681197388,4.097035513386014,1.428497097086861
1.0,7,60.0,15,3.75,0,3.0956025844154196,0.47496912889268206,3.9361549619241565,4.897731987854831,1.9066920812927746,0.3370405724170366,0.06848455963844179,4.77649654918772,0.05932978830249504,0.3102436540079281,3.701137032373826,1.4134153665088793
1.0,8,60.0,15,3.75,0,2.9395083928786603,0.4383671618277308,3.743411121748064,4.7062605826318835,1.9024550607139956,0.32546422753656296,0.06372026305176655,4.744203806428032,0.06066278485949688,0.2990022401977588,3.930524520257145,1.4696048105776907
1.0,9,60.0,15,3.75,0,2.958425104448216,0.448610034753657,3.760215378255463,4.722041447592736,1.9003860727855157,0.3108933962130066,0.06338676526046816,4.647285473614353,0.060382690645530375,0.31000871341251496,3.9854069611494864,1.4516963615488432
1.0,10,60.0,15,3.75,0,3.0823561019702934,0.48563910378650865,4.054779403447637,5.0171971254890435,1.8657464414803289,0.296649904084192,0.06627358933048151,3.9902737615486155,0.052649665041493834,0.32157783887484226,4.188552246593023,1.4280565011100315
1.0,11,60.0,15,3.75,0,3.0642570761841528,0.4478277536997146,3.887441684560816,4.851753123101668,1.913191787848752,0.35062150789516466,0.06592790622121616,4.548088603371248,0.06045684138226205,0.2898650662349152,4.103410585085613,1.4522301712184607
1.0,12,60.0,15,3.75,0,3.0086869499062963,0.4362352434950472,3.817541147513689,4.782788675078044,1.9235119275881294,0.35070653930877055,0.06527407704739453,4.6863227333968975,0.06815294053044922,0.3030470791558441,3.95091798696667,1.4170355867813895
1.0,13,60.0,15,3.75,0,2.9162250520508546,0.4466040759927397,3.711910478253376,4.671435536857452,1.914032412473853,0.2987795772637873,0.06258078308375867,4.731953134052932,0.0507171319312291,0.29305038635192376,3.9447136158850062,1.4656254103938693
1.0,14,60.0,15,3.75,0,3.0844609413564554,0.444698538718744,3.9145669003423236,4.880821933652267,1.924213164561128,0.3439167961275127,0.06492394526159549,4.2685017141274795,0.06515629612812958,0.30190902616838744,3.9624706899223114,1.4287107919669706
1.0,15,60.0,15,3.75,0,3.076573168986961,0.4474937013562248,3.9142480755782376,4.8793880237739415,1.944238423408629,0.3667233253630594,0.06680778830559155,4.5652735761584315,0.060716124154179485,0.2821920820822479,4.228529410068424,1.4492631579477007
1.5,0,60.0,15,3.75,0,3.0022250295359307,0.4477291723686072,3.3189755590949597,4.775787740718966,1.8965480117145648,0.3306620390690211,0.065,4.7,0.06,0.3,4.0,1.4288992721907328
1.5,1,60.0,15,3.75,0,3.0793181192445545,0.4843918855291527,3.406875611341995,4.8590644174052535,1.889394255335684,0.2914084735776693,0.06577673839752203,4.570952355386659,0.0551469765634464,0.33000624819513635,3.9705706040793256,1.4182988268893335
1.5,2,60.0,15,3.75,0,3.087465652434287,0.44883480871082654,3.4241896743147944,4.885617662975394,1.9066334913634617,0.3333589677474899,0.06428724157605824,4.1638551873761624,0.06636539174031647,0.3114338956812706,4.134814580815061,1.44120695245206
1.5,3,60.0,15,3.75,0,3.0036248047419942,0.43835823700453913,3.315121748773355,4.773586616006675,1.908178615633349,0.3256265254177779,0.06268446121923109,4.336350357380637,0.05515479194800862,0.2820106664684216,4.17178330111812,1.4246835883790174
1.5,4,60.0,15,3.75,0,3.0731415254236603,0.4508537486616353,3.403561488621448,4.8629154713061,1.9083571684042238,0.3232569717072059,0.06381785595855352,4.180630719342732,0.059804869770326875,0.30111774343157194,3.8014708311273617,1.422012753510219
1.5,5,60.0,15,3.75,0,2.919601277290305,0.43298144075147965,3.2191454555768626,4.677450026859397,1.92457357095276,0.31902074426433696,0.0624217189570092,4.63370430103694,0.06530633920429904,0.3086503437550528,3.8808036451019428,1.390010992718187
1.5,6,60.0,15,3.75,0,3.085653898736896,0.4557544386267806,3.421552799811861,4.879487899221146,1.8984319244269483,0.32651253051162327,0.06515637336675334,4.342580092232875,0.056498397403540186,0.2971682681197388,4.097035513386014,1.428497097086861
1.5,7,60.0,15,3.75,0,3.091884653620021,0.4748475160113459,3.442025881969353,4.898021703901439,1.9062077613282906,0.3370749863556918,0.06848455963844179,4.77649654918772,0.05932978830249504,0.3102436540079281,3.701137032373826,1.4134153665088793
1.5,8,60.0,15,3.75,0,2.9393137591953398,0.43854017867023376,3.24939055103851,4.7065034508518595,1.9020487968356474,0.32543872028738785,0.06372026305176655,4.744203806428032,0.06066278485949688,0.2990022401977588,3.930524520257145,1.4696048105776907
1.5,9,60.0,15,3.75,0,2.959037019655395,0.44844006130206754,3.2667544263487858,4.722737181264293,1.90234979293193,0.3108958891264162,0.06338676526046816,4.647285473614353,0.060382690645530375,0.31000871341251496,3.9854069611494864,1.4516963615488432
1.5,10,60.0,15,3.75,0,3.0828047525022675,0.48557544577029527,3.560352777028188,5.017497997309274,1.8660818271766484,0.29663376700335653,0.06627358933048151,3.9902737615486155,0.052649665041493834,0.32157783887484226,4.188552246593023,1.4280565011100315
1.5,11,60.0,15,3.75,0,3.0661856515354144,0.44767979299429994,3.393253900693529,4.852294128947327,1.9149764877513353,0.3506747606667383,0.06592790622121616,4.548088603371248,0.06045684138226205,0.2898650662349152,4.103410585085613,1.4522301712184607
1.5,12,60.0,15,3.75,0,3.0134231991450746,0.435252661716499,3.3237384640318255,4.783730032111042,1.9337827934676712,0.35078098604626323,0.06527407704739453,4.6863227333968975,0.06815294053044922,0.3030470791558441,3.95091798696667,1.4170355867813895
1.5,13,60.0,15,3.75,0,2.9168395646555494,0.4465485427207473,3.218558498834381,4.671796179067884,1.914411122150653,0.2987574299870681,0.06258078308375867,4.731953134052932,0.0507171319312291,0.29305038635192376,3.9447136158850062,1.4656254103938693
1.5,14,60.0,15,3.75,0,3.084279269414059,0.4449677498314998,3.4197192523535267,4.881025677787615,1.9232773928871705,0.34389475625662064,0.06492394526159549,4.2685017141274795,0.06515629612812958,0.30190902616838744,3.9624706899223114,1.4287107919669706
1.5,15,60.0,15,3.75,0,3.07536455797254,0.44730497485353,3.4201107187807853,4.880167639104413,1.9468259918219422,0.3667693018383113,0.06680778830559155,4.5652735761584315,0.060716124154179485,0.2821920820822479,4.228529410068424,1.4492631579477007
2.0,0,60.0,15,3.75,0,3.0021789116577717,0.44780606986187776,2.8267152533962108,4.7758718235864865,1.8963687095070394,0.33065366859770007,0.065,4.7,0.06,0.3,4.0,1.4288992721907328
2.0,1,60.0,15,3.75,0,3.07951456485466,0.4844089535404915,2.915193998495892,4.859174016964623,1.8895159993067623,0.2914008847222052,0.06577673839752203,4.570952355386659,0.0551469765634464,0.33000624819513635,3.9705706040793256,1.4182988268893335
